Name,Location,City,P.O Box,Phone,Mobile,Company Page Link,Logo URL
Royal Orchid Chinese & Thai Restaurant,Marina Walk,Dubai,114586,04-3674040,,https://www.yellowpages-uae.com/uae/restaurant/royal-orchid-chinese-thai-restaurant-113545.html,
Royal Rajasthan Restaurant & Cafe,Hamdan Street,Abu Dhabi,72535,02-6353763,050-8685252,https://www.yellowpages-uae.com/uae/restaurant/royal-rajasthan-restaurant-cafe-175512.html,
Rozanah Restaurant,Yas Marina,Abu Dhabi,,02-4963411,,https://www.yellowpages-uae.com/uae/restaurant/rozanah-restaurant-168558.html,
Ruchi Restaurant,Ziyani Area,Abu Dhabi,35980,02-6792679,,https://www.yellowpages-uae.com/uae/restaurant/ruchi-restaurant-132000.html,
Ruchi Star Restaurant,"Bhnd Arabian Courtyard Hotel, Near Dubai Museum, Bur Dubai",Dubai,234480,04-3525895,056-1823509,https://www.yellowpages-uae.com/uae/restaurant/ruchi-star-restaurant-175290.html,
S Cafe,JLT,Dubai,,04-3794044,,https://www.yellowpages-uae.com/uae/restaurant/s-cafe-175776.html,
Saba Mandi & Madhbi Rest,"Next to Sharjah University, Muweilah",Sharjah,,06-5500816,,https://www.yellowpages-uae.com/uae/restaurant/saba-mandi-madhbi-rest-175462.html,
Sabir Afghan Restaurant,"318 Road, Near Grand City Mall, Al Quoz",Dubai,,052-4243516,,https://www.yellowpages-uae.com/uae/restaurant/sabir-afghan-restaurant-175590.html,
Saca Advertising LLC,,Dubai,27680,04-2563531,,https://www.yellowpages-uae.com/uae/restaurant/saca-advertising-llc-152647.html,
Sacci,,Abu Dhabi,,02-6169999,,https://www.yellowpages-uae.com/uae/restaurant/sacci-175719.html,
Sadaf,Al Maktoum St,Dubai,,04-2221622,,https://www.yellowpages-uae.com/uae/restaurant/sadaf-105428.html,
Sadaf Wa Marjan Restaurant LLC,"Bhnd Dubai Islamic Bank, National Paints, Al Muweilah",Sharjah,,06-5356030,,https://www.yellowpages-uae.com/uae/restaurant/sadaf-wa-marjan-restaurant-llc-146560.html,
Safari Bruasted Chicken & Refreshment,"Near Dana Hotel, TCA",Abu Dhabi,,02-6450003,,https://www.yellowpages-uae.com/uae/restaurant/safari-bruasted-chicken-refreshment-131680.html,
Safeer Al Mandi,"Jamal Abdul Naser Rd, Al Majaz",Sharjah,,06-5444225,,https://www.yellowpages-uae.com/uae/restaurant/safeer-al-mandi-147688.html,
Safire Restaurant,"Near UAE Exchange, Rolla Sq",Sharjah,20256,06-5614393,,https://www.yellowpages-uae.com/uae/restaurant/safire-restaurant-112392.html,
Sagar Calicut,"Near Al Ansari Exchange, Al Arooba St",Sharjah,67993,06-5639781,055-1979165,https://www.yellowpages-uae.com/uae/restaurant/sagar-calicut-68586.html,
Sagar City Restaurant,Abu Shagara,Sharjah,,06-5595660,,https://www.yellowpages-uae.com/uae/restaurant/sagar-city-restaurant-147203.html,
Sagar Deluxe Restaurant LLC,Hor Al Anz,Dubai,,04-2963738,,https://www.yellowpages-uae.com/uae/restaurant/sagar-deluxe-restaurant-llc-148308.html,
Sagar Restaurant,Passport Rd,Abu Dhabi,,02-6413690,,https://www.yellowpages-uae.com/uae/restaurant/sagar-restaurant-145536.html,
Sager Deira Restaurant LLC,Hor Al Anz,Dubai,82041,04-2681268,,https://www.yellowpages-uae.com/uae/restaurant/sager-deira-restaurant-llc-146793.html,
Sai Dham Restaurant,Karama,Dubai,28146,04-3358788,,https://www.yellowpages-uae.com/uae/restaurant/sai-dham-restaurant-141795.html,
Saif Al Jazeera Restaurant,"Frij Murar, Deira",Dubai,89051,04-2710532,,https://www.yellowpages-uae.com/uae/restaurant/saif-al-jazeera-restaurant-131057.html,
Salaam Namaste Restaurant,"Meena Bazar, Bur Dubai",Dubai,241473,04-3256144,058-2349786,https://www.yellowpages-uae.com/uae/restaurant/salaam-namaste-restaurant-175292.html,
Salat Al Makolat Restaurant,"Behind National Hospital, Najda Street",Abu Dhabi,,02-6749901,050-1221302,https://www.yellowpages-uae.com/uae/restaurant/salat-al-makolat-restaurant-175576.html,
Saleh Bin Lahej Group,Garhoud,Dubai,1443,04-2828188,,https://www.yellowpages-uae.com/uae/restaurant/saleh-bin-lahej-group-118062.html,
Salem Saif Restaurant,,Jebel Ali,,04-8523951,,https://www.yellowpages-uae.com/uae/restaurant/salem-saif-restaurant-101182.html,
Salero,"Kempenski Hotel, Shk Zayed Road",Dubai,,04-4095888,,https://www.yellowpages-uae.com/uae/restaurant/salero-175775.html,
Salim Ali Salim Restaurant,Al Dagaya Street,Dubai,,04-2261383,,https://www.yellowpages-uae.com/uae/restaurant/salim-ali-salim-restaurant-101163.html,
Sama Al Akawi Restaurant,,Abu Dhabi,,052-2610444,052-2610555,https://www.yellowpages-uae.com/uae/restaurant/sama-al-akawi-restaurant-175511.html,
Sama Al Khaleej Pastry,Al Nahda 2,Dubai,,04-2390916,050-9781207,https://www.yellowpages-uae.com/uae/restaurant/sama-al-khaleej-pastry-175228.html,
Samakmk Restaurant,"Al Qasimiya St, Al Ghubaiba",Sharjah,,06-5676703,,https://www.yellowpages-uae.com/uae/restaurant/samakmk-restaurant-147326.html,
Samiramis Cafeteria,"Near Al Sahaba Mosque, TCA",Abu Dhabi,,02-6459034,050-5667901,https://www.yellowpages-uae.com/uae/restaurant/samiramis-cafeteria-175494.html,
Samurai Japanese Restaurant,Meena Rd,Abu Dhabi,5133,02-6766612,,https://www.yellowpages-uae.com/uae/restaurant/samurai-japanese-restaurant-118744.html,
Sanaya Al Thoufeeque Rest,Mussafah,Abu Dhabi,8375,02-5559923,,https://www.yellowpages-uae.com/uae/restaurant/sanaya-al-thoufeeque-rest-126030.html,
Sandwichy,"One Omniyat Tower, Business Bay",Dubai,,800245245,,https://www.yellowpages-uae.com/uae/restaurant/sandwichy-175303.html,
Sangeet Indian Multicuisine Restaurant,Al Qusais,Dubai,125981,04-2592433,,https://www.yellowpages-uae.com/uae/restaurant/sangeet-indian-multicuisine-restaurant-103524.html,
Sangeeta Veg Restaurant,Karama,Dubai,4893,04-3367111,,https://www.yellowpages-uae.com/uae/restaurant/sangeeta-veg-restaurant-133361.html,
Sangeetha Vegetarian Restaurant LLC,Karama,Dubai,,04-3367111,,https://www.yellowpages-uae.com/uae/restaurant/sangeetha-vegetarian-restaurant-llc-108479.html,
Sanman Restaurant,Qusais,Dubai,20249,04-2613415,,https://www.yellowpages-uae.com/uae/restaurant/sanman-restaurant-143859.html,
Saraya Palace Restaurant,Khalidiya,Abu Dhabi,32002,02-6662288,,https://www.yellowpages-uae.com/uae/restaurant/saraya-palace-restaurant-145703.html,
Sardina Seafood Restaurant,"Reem Mall, Jumairah Road, Jumairah 3",Dubai,333327,04-3390444,052-8734444,https://www.yellowpages-uae.com/uae/restaurant/sardina-seafood-restaurant-173430.html,
Sardinia,Al Mushrif,Abu Dhabi,,02-6577640,,https://www.yellowpages-uae.com/uae/restaurant/sardinia-175720.html,
Sarhad Darbar General Trading,,Dubai,91753,04-2565394,,https://www.yellowpages-uae.com/uae/restaurant/sarhad-darbar-general-trading-158845.html,
Sarhad Darbar Restaurants LLC,Al Aweer,Dubai,94637,04-2363114,,https://www.yellowpages-uae.com/uae/restaurant/sarhad-darbar-restaurants-llc-143417.html,
Satwa Palace Restaurant,Satwa Road,Dubai,,04-3422070,,https://www.yellowpages-uae.com/uae/restaurant/satwa-palace-restaurant-142376.html,
Savage Garden - Capitol Hotel,"Al Mina Rd, Bur Dubai",Dubai,33228,04-3460111,,https://www.yellowpages-uae.com/uae/restaurant/savage-garden-capitol-hotel-134821.html,
Sax Restaurant Club,Khalifa St,Abu Dhabi,44489,02-6741286,,https://www.yellowpages-uae.com/uae/restaurant/sax-restaurant-club-131634.html,
Sayad Bahar Restaurant,Al Garhoud,Dubai,,04-2288003,,https://www.yellowpages-uae.com/uae/restaurant/sayad-bahar-restaurant-175537.html,
Sayad Seafood,"Emirates Palace, Al Ras Al Akhdar",Abu Dhabi,,02-6907999,,https://www.yellowpages-uae.com/uae/restaurant/sayad-seafood-175740.html,
Scantic Restaurant,"Near Bus Station, Satwa",Dubai,24611,04-3492162,,https://www.yellowpages-uae.com/uae/restaurant/scantic-restaurant-125036.html,
Sea Mood Restaurant,"Mankhool Road, Satwa",Dubai,,04-3857977,,https://www.yellowpages-uae.com/uae/restaurant/sea-mood-restaurant-175777.html,
Sea Mood Restaurant,"Mankhool Rd, Diyafa",Dubai,,04-3857977,,https://www.yellowpages-uae.com/uae/restaurant/sea-mood-restaurant-148173.html,
Sea Shell Cafeteria,"Near Emarat, Garhoud Bridge Aree, Garhoud",Dubai,,04-3244334,055-5598186,https://www.yellowpages-uae.com/uae/restaurant/sea-shell-cafeteria-175212.html,
Sea Shell LLC,,Abu Dhabi,,02-6215234,,https://www.yellowpages-uae.com/uae/restaurant/sea-shell-llc-145704.html,
Sea View Restaurant,Jumeirah Rd,Dubai,11449,04-3335552,,https://www.yellowpages-uae.com/uae/restaurant/sea-view-restaurant-164164.html,
Sealand Restaurant,"Bhnd UAE Exchange Centre, Rolla",Sharjah,60522,06-5612020,,https://www.yellowpages-uae.com/uae/restaurant/sealand-restaurant-137781.html,
Seazen Foodpoint Restaurant,,Abu Dhabi,,02-6264191,050-1149859,https://www.yellowpages-uae.com/uae/restaurant/seazen-foodpoint-restaurant-175528.html,
Segafredo Zanetti Espresso,Ibn Batuta Mall,Dubai,23684,04-3243757,,https://www.yellowpages-uae.com/uae/restaurant/segafredo-zanetti-espresso-132050.html,
Select Restaurant & Cafeteria,Electra St,Abu Dhabi,,02-6330068,,https://www.yellowpages-uae.com/uae/restaurant/select-restaurant-cafeteria-145676.html,
Seven Emirates Restaurant,,Abu Dhabi,,02-5524125,,https://www.yellowpages-uae.com/uae/restaurant/seven-emirates-restaurant-146544.html,
Sevilla Restaurant,,Abu Dhabi,,02-5080555,,https://www.yellowpages-uae.com/uae/restaurant/sevilla-restaurant-142536.html,
Sevilos,Khalifa Str,Abu Dhabi,,02-6146000,,https://www.yellowpages-uae.com/uae/restaurant/sevilos-143302.html,
Shabab Al Tybeen Cafeteria,"Behind Honda Showroom, Electra Street",Abu Dhabi,,02-6745277,050-1617668,https://www.yellowpages-uae.com/uae/restaurant/shabab-al-tybeen-cafeteria-175519.html,
Shabiyat Al Toufeeq Refreshments,Mussafah,Abu Dhabi,,02-5527176,,https://www.yellowpages-uae.com/uae/restaurant/shabiyat-al-toufeeq-refreshments-146545.html,
Shahab Restaurant,"Bldg, 28, Near Eppco Pump, Al Qusais Indl Area 4",Dubai,,04-2838007,,https://www.yellowpages-uae.com/uae/restaurant/shahab-restaurant-147692.html,
Shahariyar Restaurant,"Nakheel Road, Deira",Dubai,,04-2212797,,https://www.yellowpages-uae.com/uae/restaurant/shahariyar-restaurant-142525.html,
Shahi Daawat,Bur Dubai,Dubai,,058-8401212,,https://www.yellowpages-uae.com/uae/restaurant/shahi-daawat-175312.html,
Shahi Mughal Restaurant,"Beside Muncipality office, Satwa",Dubai,,04-3440051,052-5943286,https://www.yellowpages-uae.com/uae/restaurant/shahi-mughal-restaurant-175315.html,
Shahi Tandoor,"Zabeel Road, Karama",Dubai,,04-3583583,,https://www.yellowpages-uae.com/uae/restaurant/shahi-tandoor-67451.html,
Shaikh Al Mandi Restaurant,Al Barsha 1,Dubai,,04-3929932,,https://www.yellowpages-uae.com/uae/restaurant/shaikh-al-mandi-restaurant-68546.html,
Shakespeare And Co,,Jebel Ali,,04-8854330,,https://www.yellowpages-uae.com/uae/restaurant/shakespeare-and-co-145285.html,
Shaklan Restaurant,"Mubarak Al Jafla W/H, Street 12 , Al Quoz Indl Area 2",Dubai,,04-3285533,,https://www.yellowpages-uae.com/uae/restaurant/shaklan-restaurant-143790.html,
Shako Mako,"Beach Road, Jumeirah 3",Dubai,75232,04-3444007,055-7744900,https://www.yellowpages-uae.com/uae/restaurant/shako-mako-175569.html,
Sham Alsehhi Restaurant,"Damascus St, Al Qusais",Dubai,48636,04-2511155,056-7588865,https://www.yellowpages-uae.com/uae/restaurant/sham-alsehhi-restaurant-175325.html,
Shamiana,Sahara Center,Sharjah,,06-5395930,,https://www.yellowpages-uae.com/uae/restaurant/shamiana-107677.html,
Shams Al Aseel Cafeteria,Satwa,Dubai,,04-3329505,,https://www.yellowpages-uae.com/uae/restaurant/shams-al-aseel-cafeteria-145343.html,
Shams Al Batheen Restaurant,Al Qusais,Dubai,79328,04-2672204,,https://www.yellowpages-uae.com/uae/restaurant/shams-al-batheen-restaurant-117846.html,
Shams Restaurant,Khalidiya,Abu Dhabi,29128,02-6210176,,https://www.yellowpages-uae.com/uae/restaurant/shams-restaurant-134374.html,
Shanghai Station,Oud Metha,Dubai,,04-3966559,052-5934179,https://www.yellowpages-uae.com/uae/restaurant/shanghai-station-175210.html,
Sharafuddin Restaurant,"China H-03, Dubai International City",Dubai,,04-4475278,,https://www.yellowpages-uae.com/uae/restaurant/sharafuddin-restaurant-145537.html,
Sharafudheen Restaurant,Al Quoz Industrial Area 3,Dubai,,04-3468448,,https://www.yellowpages-uae.com/uae/restaurant/sharafudheen-restaurant-142697.html,
Sharjah Club Cafeteria,Near Cricket Stadium,Sharjah,,06-5431717,,https://www.yellowpages-uae.com/uae/restaurant/sharjah-club-cafeteria-147387.html,
Shatee Restaurant,"Bhnd Citymax Hotel, Al Wahda St",Sharjah,,06-5556070,,https://www.yellowpages-uae.com/uae/restaurant/shatee-restaurant-175372.html,
Shater Grill House Restaurant,"Near Madina Mall, Dubai",Dubai,,04-3415660,056-5886004,https://www.yellowpages-uae.com/uae/restaurant/shater-grill-house-restaurant-175299.html,
Shatir Hassan Restaurant,Al Falah St,Abu Dhabi,46539,02-6416616,,https://www.yellowpages-uae.com/uae/restaurant/shatir-hassan-restaurant-129158.html,
Shaukath Restaurant,Bhnd of Karama Hotel,Dubai,,04-3352526,,https://www.yellowpages-uae.com/uae/restaurant/shaukath-restaurant-142911.html,
Shawarma Time,Najda St,Abu Dhabi,37942,02-6336633,,https://www.yellowpages-uae.com/uae/restaurant/shawarma-time-164777.html,
Shawarmaji,Al Barsha,Dubai,,04-4521717,050-4605280,https://www.yellowpages-uae.com/uae/restaurant/shawarmaji-175356.html,
Sheeshan Restaurant,"Frij Murar, Deira",Dubai,,04-2730147,,https://www.yellowpages-uae.com/uae/restaurant/sheeshan-restaurant-142365.html,
Sher-E-Punjab Restaurant,"Oman St, Al Nakheel",Ras Al Khaimah,812,07-2221572,,https://www.yellowpages-uae.com/uae/restaurant/sher-e-punjab-restaurant-113510.html,
Shibam Hadarmout Restaurant,"Near Habtoor Auto Centre, Deira",Dubai,236177,04-2666024,,https://www.yellowpages-uae.com/uae/restaurant/shibam-hadarmout-restaurant-161891.html,
Shish Shawerma Restaurant Est,Corniche Rd,Abu Dhabi,38107,02-6505576,,https://www.yellowpages-uae.com/uae/restaurant/shish-shawerma-restaurant-est-164785.html,
Shiv Sagar Restaurant LLC,"Meena Bazaar, Bur Dubai",Dubai,43527,04-3522020,,https://www.yellowpages-uae.com/uae/restaurant/shiv-sagar-restaurant-llc-118080.html,
Shoukath Restaurant,Karama,Dubai,23050,04-3352526,,https://www.yellowpages-uae.com/uae/restaurant/shoukath-restaurant-144272.html,
Sigddi Restaurant LLC,"Besides Baby Shop, Al Zabel Rd, Karama",Dubai,184061,04-3548978,,https://www.yellowpages-uae.com/uae/restaurant/sigddi-restaurant-llc-143237.html,
Simran's Appa Kadai,Discovery Gardens,Dubai,,04-3348030,,https://www.yellowpages-uae.com/uae/restaurant/simran-s-appa-kadai-149929.html,
Sind Darbar Restaurant,"Al Muteena Rd, Deira",Dubai,,04-2727934,,https://www.yellowpages-uae.com/uae/restaurant/sind-darbar-restaurant-175256.html,
Sindh Shahbaz Restaurant,"Opp Abdullah Bin Abbas Mosque, King Faisal St",Sharjah,,06-5744104,,https://www.yellowpages-uae.com/uae/restaurant/sindh-shahbaz-restaurant-68479.html,
Singapore Deli,"Behind Pizza Hut, Opposite Burjuman Centre, Al Karama",Dubai,49612,04-3966885,,https://www.yellowpages-uae.com/uae/restaurant/singapore-deli-129262.html,
Sinugba ng Cucina Filipino Restaurant,"Amman Rd, Al Nahda 2",Dubai,,04-2637482,,https://www.yellowpages-uae.com/uae/restaurant/sinugba-ng-cucina-filipino-restaurant-175237.html,
Sivestar Bhavan Restaurant,Bur Dubai,Dubai,,04-3979481,,https://www.yellowpages-uae.com/uae/restaurant/sivestar-bhavan-restaurant-143791.html,
Skye & Walker,Al Rigga,Dubai,,04-2131221,,https://www.yellowpages-uae.com/uae/restaurant/skye-walker-175778.html,
Slider Station,Al Wasl Road,Dubai,,600 544005,,https://www.yellowpages-uae.com/uae/restaurant/slider-station-175779.html,
Smiling BKK,"Shop 1, Block 1, Wasl Square, Opposite Safa Park, Al Wasl Road, Al Safa",Dubai,,04-3884411,,https://www.yellowpages-uae.com/uae/restaurant/smiling-bkk-173550.html,
Sonia Company LLC,Rashidiya,Dubai,52546,04-2863660,,https://www.yellowpages-uae.com/uae/restaurant/sonia-company-llc-129747.html,
Sontaya,Saadiyat Island,Abu Dhabi,,02-4988888,,https://www.yellowpages-uae.com/uae/restaurant/sontaya-175721.html,
Sophies Cafe,Jumeirah,Dubai,,04-4515982,,https://www.yellowpages-uae.com/uae/restaurant/sophies-cafe-175780.html,
Soy Express,Mussafah,Abu Dhabi,,02-5508900,,https://www.yellowpages-uae.com/uae/restaurant/soy-express-147050.html,
Soyumm,"Lamcy Plaza, Karama",Dubai,,04-3584584,,https://www.yellowpages-uae.com/uae/restaurant/soyumm-67460.html,
Spaccanapoli,"Crown Plaza, Al Markaziyah",Abu Dhabi,,02-6166261,,https://www.yellowpages-uae.com/uae/restaurant/spaccanapoli-175722.html,
Special Group of Rest and Catering Services,Khalidiya St,Abu Dhabi,52100,02-6665512,,https://www.yellowpages-uae.com/uae/restaurant/special-group-of-rest-and-catering-services-133262.html,
Special Restaurant,,Abu Dhabi,52100,02-6665512,,https://www.yellowpages-uae.com/uae/restaurant/special-restaurant-146033.html,
Spectrum Restaurant,Backside of Deira Towers,Dubai,,04-2266103,,https://www.yellowpages-uae.com/uae/restaurant/spectrum-restaurant-142526.html,
Spice By Qureshi,"Ground floor, Ramada Chelsea Hotel, Al Barsha",Dubai,,04-5019000,,https://www.yellowpages-uae.com/uae/restaurant/spice-by-qureshi-143838.html,
Spice Sense Restaurants,"406, Sobha Ivory 2, Business Bay",Dubai,,04-5514134,,https://www.yellowpages-uae.com/uae/restaurant/spice-sense-restaurants-169456.html,
SpiceKlub,"Opposite Aster Hospital, Near Sharaf DG, Kuwait Street, Mankhool",Dubai,,04-4489590,,https://www.yellowpages-uae.com/uae/restaurant/spiceklub-173554.html,
Spicy Thali Restaurant,Nuaimiyah,Ajman,,06-7419876,,https://www.yellowpages-uae.com/uae/restaurant/spicy-thali-restaurant-142677.html,
Spicyland Restaurant,"Bhnd Choitram S/M, Abu Shagara",Sharjah,,06-5554515,,https://www.yellowpages-uae.com/uae/restaurant/spicyland-restaurant-146665.html,
Sports Star Restaurant & Cafe LLC,"Al Talal Building, Bhnd Sahara Centre, Al Nahda",Dubai,,04-2669277,052-8414450,https://www.yellowpages-uae.com/uae/restaurant/sports-star-restaurant-cafe-llc-175288.html,
Spring Onion Restaurant,"Silver Tower, Business Bay",Dubai,,055-3151234,,https://www.yellowpages-uae.com/uae/restaurant/spring-onion-restaurant-175335.html,
Square Table Restaurant,"Opp Centrepoint, Bhnd Pizzahut, Karama",Dubai,,04-3977223,052-8740231,https://www.yellowpages-uae.com/uae/restaurant/square-table-restaurant-175270.html,
Stables Bar & Restaurant,"Near Farimont Hotel, Shk Zayed Road",Dubai,,04-3425571,,https://www.yellowpages-uae.com/uae/restaurant/stables-bar-restaurant-175781.html,
Stand View Restaurant LLC,,Dubai,,04-2238038,,https://www.yellowpages-uae.com/uae/restaurant/stand-view-restaurant-llc-142912.html,
Star Restaurant and Mini Market,"Near Main Gate, Jebel Ali Free Zone",Jebel Ali,16837,04-8818522,,https://www.yellowpages-uae.com/uae/restaurant/star-restaurant-and-mini-market-123917.html,
Starbucks Coffee,Deira City Centre,Dubai,1277,04-2948442,,https://www.yellowpages-uae.com/uae/restaurant/starbucks-coffee-116158.html,
Stars N Bars,"Yas Marina, Yas Island",Abu Dhabi,,02-5650101,,https://www.yellowpages-uae.com/uae/restaurant/stars-n-bars-175723.html,
Sterling Caravan,Garhoud,Dubai,3929,04-2947771,,https://www.yellowpages-uae.com/uae/restaurant/sterling-caravan-67150.html,
Stills,"Crown Plaza, Yas Island",Abu Dhabi,,02-6563066,,https://www.yellowpages-uae.com/uae/restaurant/stills-175724.html,
Stone Fire Pizza Kitchen,Near Real Cinemas. The Dubai Mall,Dubai,,04-3308152,,https://www.yellowpages-uae.com/uae/restaurant/stone-fire-pizza-kitchen-67464.html,
Stratos,Al Markaziyah,Abu Dhabi,,800 101101,,https://www.yellowpages-uae.com/uae/restaurant/stratos-175741.html,
Subah Hotel Management Services LLC,Mina Rd,Abu Dhabi,48324,02-6723321,,https://www.yellowpages-uae.com/uae/restaurant/subah-hotel-management-services-llc-140118.html,
Subhiksha Restaurant,Hamdan St,Abu Dhabi,,02-6760675,,https://www.yellowpages-uae.com/uae/restaurant/subhiksha-restaurant-147725.html,
Sublime Lounge,"Ibis Hotel, 2nd Zabeel Road",Dubai,,04-3187130,,https://www.yellowpages-uae.com/uae/restaurant/sublime-lounge-67465.html,
Subway,"Blk 7, Food Court, Knowledge Village",Dubai,502936,04-3644545,,https://www.yellowpages-uae.com/uae/restaurant/subway-131293.html,
Subway,"Times Square Centre, Sh zayed road",Dubai,,04-3418808,,https://www.yellowpages-uae.com/uae/restaurant/subway-68593.html,
"Subway, The",Jumeira Lake Tower,Dubai,27888,04-4327999,,https://www.yellowpages-uae.com/uae/restaurant/subway-the-130056.html,
SucreSale,Jumeira Lake Tower,Dubai,,04-4484648,,https://www.yellowpages-uae.com/uae/restaurant/sucresale-103625.html,
Sugar Box,"418 University City Rd, Ind Area 13",Dubai,,04-3446084,050-4337994,https://www.yellowpages-uae.com/uae/restaurant/dubai-sugar-box-67467.html,
Sugar Factory,"Shop MW 18, Festival City Mall",Dubai,,04-2843456,,https://www.yellowpages-uae.com/uae/restaurant/sugar-factory-176385.html,
Sugoi,"2nd Floor Dubai Mall Food Court, Downtown Burj Khalifa",Dubai,52546,04-4340755,,https://www.yellowpages-uae.com/uae/restaurant/sugoi-62654.html,
Sukh Sagar at the Beach,,Dubai,,04-4370188,,https://www.yellowpages-uae.com/uae/restaurant/sukh-sagar-at-the-beach-67799.html,
Sukh Sagar LLC,"Near Park Regis Kris Kin Hotel, Kuwait Street, Al Karama",Dubai,52119,04-3967222,04-3967291,https://www.yellowpages-uae.com/uae/restaurant/sukh-sagar-llc-130754.html,
Sultan Palace Restaurant,"opposite Zabeel Park, Near Karama Fish Market, Karama",Dubai,,04-3709377,,https://www.yellowpages-uae.com/uae/restaurant/sultan-palace-restaurant-67468.html,
Sultana Restaurant,Muroor Rd,Abu Dhabi,95526,02-4482343,,https://www.yellowpages-uae.com/uae/restaurant/sultana-restaurant-125396.html,
Sum of Us,"Trade Cntre 1, Shk Zayed Road",Dubai,,056-4457526,,https://www.yellowpages-uae.com/uae/restaurant/sum-of-us-175782.html,
Sumaya Restaurant,"Near Sharjah Cinema, Al Marija St",Sharjah,28405,06-5681823,,https://www.yellowpages-uae.com/uae/restaurant/sumaya-restaurant-135721.html,
Sumibiya,"Baniyas Rd, Deira",Dubai,476,04-2057033,,https://www.yellowpages-uae.com/uae/restaurant/sumibiya-142724.html,
Summerland Motel,"Opp Sharjah Grand Hotel, Port Khalid, Al Khan",Sharjah,6006,06-5281321,,https://www.yellowpages-uae.com/uae/restaurant/summerland-motel-135656.html,
Sumo Salad,"Dubai Mall Food Court, Downtown Burj Khalifa",Dubai,523,04-3308063,,https://www.yellowpages-uae.com/uae/restaurant/sumo-salad-62656.html,
Sumo Sushi & Bento,"Ground Floor, Building # 10, BBC Building, Dubai Media City",Dubai,57360,04-3911041,,https://www.yellowpages-uae.com/uae/restaurant/sumo-sushi-bento-110857.html,
Sunlight Restaurant,Hamdan St,Abu Dhabi,26438,02-6321566,,https://www.yellowpages-uae.com/uae/restaurant/sunlight-restaurant-126815.html,
Super Kabab Iranian Restaurant,"Al Khaleej Rd, Abu Hail",Dubai,,04-2685685,050-2411998,https://www.yellowpages-uae.com/uae/restaurant/super-kabab-iranian-restaurant-175232.html,
Super Seven Seas Restaurants,Bur Dubai,Dubai,45863,04-3932112,,https://www.yellowpages-uae.com/uae/restaurant/super-seven-seas-restaurants-117719.html,
Surf Cafe Dubai,Jumeirah Beach Road,Dubai,,04-3466292,,https://www.yellowpages-uae.com/uae/restaurant/surf-cafe-dubai-175783.html,
Surya Restaurant,Qusais,Dubai,,04-2678080,,https://www.yellowpages-uae.com/uae/restaurant/surya-restaurant-144090.html,
Susana Restaurant,Karama,Dubai,26195,04-3575838,,https://www.yellowpages-uae.com/uae/restaurant/susana-restaurant-158786.html,
Sushi,"Grand Hyatt Hotel, Sheikh Rashid Rd, Bur Dubai",Dubai,7978,04-3172222,,https://www.yellowpages-uae.com/uae/restaurant/sushi-62658.html,
Sushi Central,Al Khalidiya,Abu Dhabi,,600 520007,,https://www.yellowpages-uae.com/uae/restaurant/sushi-central-175662.html,
Sushi Folie,"Holiday Inn, Al Barsha, next to Mall of the Emirates",Dubai,115443,04-3234333,,https://www.yellowpages-uae.com/uae/restaurant/sushi-folie-62660.html,
Sushi Sushi Restaurant - Century Village,Garhoud,Dubai,77671,04-2829908,,https://www.yellowpages-uae.com/uae/restaurant/sushi-sushi-restaurant-century-village-150157.html,
Suvoroff,"Murgan 1 Bldg, Near Al Ansari Exch, JBR",Dubai,333581,04-4370178,,https://www.yellowpages-uae.com/uae/restaurant/suvoroff-62626.html,
Swadist,"Opposite City Corner Supermarket, Al Karama",Dubai,,04-3342920,04-3342921,https://www.yellowpages-uae.com/uae/restaurant/swadist-173553.html,
Swagath Vegetarian Restaurant,"Food Court, Al Musalla Tower, Mankhool",Dubai,8226,04-3969363,04-3969323,https://www.yellowpages-uae.com/uae/restaurant/swagath-vegetarian-restaurant-111357.html,
"Swan, The","Al Ghurair Centre, Deira",Dubai,171567,04-2285911,,https://www.yellowpages-uae.com/uae/restaurant/swan-the-135710.html,
Sydney Restaurant,"Opp Bin Ladin Camp, Indl Area 11",Sharjah,30218,06-5349443,,https://www.yellowpages-uae.com/uae/restaurant/sydney-restaurant-129111.html,
Szechuan Palace,"Ramada Chelsea Hotel, Al Barsha",Dubai,,04-5019000,,https://www.yellowpages-uae.com/uae/restaurant/szechuan-palace-143665.html,
Tabaq Restaurant,"Hamdan St, Ziani",Abu Dhabi,46695,02-6787349,,https://www.yellowpages-uae.com/uae/restaurant/tabaq-restaurant-119605.html,
Taipei Dao,Downtown Dubai,Dubai,,04-4510694,,https://www.yellowpages-uae.com/uae/restaurant/taipei-dao-175785.html,
Taj Mahal Restaurant,"Next to Al Fujairah Jewellery, Opp ADCB",Fujairah,1146,09-2225225,,https://www.yellowpages-uae.com/uae/restaurant/taj-mahal-restaurant-116562.html,
Tajdeed Hyderabadi Restaurant,"Gete Bldg B Block, Opp City Hotel, Rolla",Sharjah,,06-5637393,055-7590859,https://www.yellowpages-uae.com/uae/restaurant/tajdeed-hyderabadi-restaurant-68584.html,
Tala Semplice,"8th St., Deira City Centre",Dubai,,04-2925200,,https://www.yellowpages-uae.com/uae/restaurant/tala-semplice-143086.html,
Talay Thai Restaurant,"Le Meridian, Al Zahiyah",Abu Dhabi,,02-6446666,,https://www.yellowpages-uae.com/uae/restaurant/talay-thai-restaurant-175725.html,
